URI,SmallURI,LargeURI,ImageWidth,Type,Priority,Caption,Taxon,Character,State,UseFor,TipStyle
# Taxon images…,,,,,,,,,,,
resources/images/atheliaSalicum.jpg,,,100%,image-local,,,Athelia salicum,,,,
resources/images/byssocorticiumAtrovirens.jpg,,,100%,image-local,,,Byssocorticium atrovirens,,,,
resources/images/byssocorticiumPulchrum.jpg,,,100%,image-local,,,Byssocorticium pulchrum,,,,
resources/images/ceriporiaSpissa.jpg,,,100%,image-local,,,Ceriporia spissa,,,,
resources/images/cylindrobasidiumEvolvens.jpg,,,100%,image-local,,,Cylindrobasidium evolvens,,,,
resources/images/galziniaIncrustans.jpg,,,100%,image-local,,,Galzinia incrustans,,,,
resources/images/mycoaciaUda.jpg,,,100%,image-local,,,Mycoacia uda,,,,
resources/images/peniophoraCinerea.jpg,,,100%,image-local,,,Peniophora cinerea,,,,
resources/images/protomeruliusMinor.jpg,,,100%,image-local,,,Protomerulius minor,,,,
resources/images/punctulariaStrigosozonata.jpg,,,100%,image-local,,,Punctularia strigosozonata,,,,
resources/images/sarcoporiaPolyspora.jpg,,,100%,image-local,,,Sarcoporia polyspora,,,,
resources/images/sistotremastrumGuttuliferum.jpg,,,100%,image-local,,,Sertulicium granuliferum,,,,
resources/images/subulicystidiumBrachysporum.jpg,,,100%,image-local,,,Subulicystidium brachysporum,,,,
resources/images/tomentellaFerruginea.jpg,,,100%,image-local,,,Tomentella ferruginea,,,,
resources/images/trechisporaStellulata.jpg,,,100%,image-local,,,Trechispora stellulata,,,,
resources/images/tubulicrinisAccedens.jpg,,,100%,image-local,,,Tubulicrinis accedens,,,,
resources/images/varariaInvestiens.jpg,,,100%,image-local,,,Vararia investiens,,,,
resources/images/xenasmaPraeteritum.jpg,,,100%,image-local,,,Xenasma praeteritum,,,,
resources/images/xenasmatellaSpSublividus.jpg,,,100%,image-local,,,Xenasmatella sp. 'sublividus',,,,
# Taxon HTML files…,,,,,,,,,,,
resources/text/atheliaSalicum.html,,,,html-local,,,Athelia salicum,,,,
resources/text/byssocorticiumAtrovirens.html,,,,html-local,,,Byssocorticium atrovirens,,,,
resources/text/byssocorticiumPulchrum.html,,,,html-local,,,Byssocorticium pulchrum,,,,
resources/text/ceriporiaSpissa.html,,,,html-local,,,Ceriporia spissa,,,,
resources/text/cylindrobasidiumEvolvens.html,,,,html-local,,,Cylindrobasidium evolvens,,,,
resources/text/galziniaIncrustans.html,,,,html-local,,,Galzinia incrustans,,,,
resources/text/mycoaciaUda.html,,,,html-local,,,Mycoacia uda,,,,
resources/text/peniophoraCinerea.html,,,,html-local,,,Peniophora cinerea,,,,
resources/text/protomeruliusMinor.html,,,,html-local,,,Protomerulius minor,,,,
resources/text/punctulariaStrigosozonata.html,,,,html-local,,,Punctularia strigosozonata,,,,
resources/text/sarcoporiaPolyspora.html,,,,html-local,,,Sarcoporia polyspora,,,,
resources/text/sistotremastrumGuttuliferum.html,,,,html-local,,,Sertulicium granuliferum,,,,
resources/text/subulicystidiumBrachysporum.html,,,,html-local,,,Subulicystidium brachysporum,,,,
resources/text/tomentellaFerruginea.html,,,,html-local,,,Tomentella ferruginea,,,,
resources/text/trechisporaStellulata.html,,,,html-local,,,Trechispora stellulata,,,,
resources/text/tubulicrinisAccedens.html,,,,html-local,,,Tubulicrinis accedens,,,,
resources/text/varariaInvestiens.html,,,,html-local,,,Vararia investiens,,,,
resources/text/xenasmaPraeteritum.html,,,,html-local,,,Xenasma praeteritum,,,,
resources/text/xenasmatellaSpSublividus.html,,,,html-local,,,Xenasmatella sp. 'sublividus',,,,
