Character,CharacterState,CharacterStateTranslation,StateGroup,StateHelp,StateHelpShort
Order,Agaricales,,,,
Order,Atheliales,,,,
Order,Auriculariales,,,,
Order,Corticiales,,,,
Order,Hymenochaetales,,,,
Order,Polyporales,,,,
Order,Russulales,,,,
Order,Thelephorales,,,,
Order,Trechisporales,,,,
Order,Xenasmatales,,,,
Family,incertae sedis,,,,
Family,Atheliaceae,,,,
Family,Byssocorticiaceae,,,,
Family,Corticiaceae,,,,
Family,Exidiaceae,,,,
Family,Hydnodontaceae,,,,
Family,Irpicaceae,,,,
Family,Lachnocladiaceae,,,,
Family,Meruliaceae,,,,
Family,Peniophoraceae,,,,
Family,Physalacriaceae,,,,
Family,Polyporaceae,,,,
Family,Punctulariaceae,,,,
Family,Tubulicrinaceae,,,,
Family,Thelephoraceae,,,,
Family,Xenasmataceae,,,,
Color,Grey,,,,
Color,Greyish,,,,
Color,White,,,,
Color,Whitish,,,,
Color,Maroon,,,,
Color,Vinaceous,,,,
Color,Peachy,,,,
Color,Orange,,,,
Color,Ochraceous,,,,
Color,Orangish brown,,,,
Color,Pale cream,,,,
Color,Cream,,,,
Color,Tannish,,,,
Color,Pale yellow,,,,
Color,Yellow,,,,
Color,Green,,,,
Color,Blue green,,,,
Color,Blue,,,,
Color,Lilac,,,,
Color,Violet,,,,
Growth,Effused,,,,
Growth,Effused-reflexed,,,,
Growth,Orbicular,,,,
Growth,Cupulate,,,,
Growth,Pileate,,,,
Growth,Dimidiate,,,,
Growth,Stipitate,,,,
Growth,Decorticant,,,,
Hymenophore,Punctate,,,,
Hymenophore,Poroid,,,,
Hymenophore,Even,,,,
Hymenophore,Phlebioid,,,,
Hymenophore,Merulioid,,,,
Hymenophore,Reticulate,,,,
Hymenophore,Granulose,,,,
Hymenophore,Grandinoid,,,,
Hymenophore,Papillate,,,,
Hymenophore,Tuberculate,,,,
Hymenophore,Odontioid,,,,
Hymenophore,Hydnoid,,,,
Hymenophore,Irpicoid,,,,
Hymenophore,Raduloid,,,,
Fresh_texture,Pruinose,,,,
Fresh_texture,Farinaceous,,,,
Fresh_texture,Chalky,,,,
Fresh_texture,Arachnoid,,,,
Fresh_texture,Fibrillose,,,,
Fresh_texture,Byssoid,,,,
Fresh_texture,Hypochnoid,,,,
Fresh_texture,Pellicular,,,,
Fresh_texture,Mebranaceous,,,,
Fresh_texture,Fleshy,,,,
Fresh_texture,Ceraceous,,,,
Fresh_texture,Coriaceous,,,,
Fresh_texture,Crustaceous,,,,
Fresh_texture,Scuprose,,,,
Fresh_texture,Velvety,,,,
Fresh_texture,Pilose,,,,
Fresh_texture,Hispidus,,,,
Fresh_texture,Tomentosus,,,,
Hyphal_system,Monomitic,,,,
Hyphal_system,Dimitic,,,,
Hyphal_system,Trimitic,,,,
Clamps,Absent,,,,
Clamps,Present,,,,
Basidia_septa,Absent,,,,
Basidia_septa,Present,,,,
Basidia_shape,Cylindrical,,,,
Basidia_shape,Subcylindrical,,,,
Basidia_shape,Clavate,,,,
Basidia_shape,Subclavate,,,,
Basidia_shape,Constricted,,,,
Basidia_shape,Urniform,,,,
Basidia_shape,Utriform,,,,
Basidia_shape,Stalked,,,,
Basidia_shape,Sphaeropedunculate,,,,
Basidia_shape,Subglobose,,,,
Basidiospore_amyloidy,Inamyloid,,,,
Basidiospore_amyloidy,Amyloid,,,,
Basidiospore_amyloidy,Dextrinoid,,,,
Basidiospore_aspect,Globose,,,,
Basidiospore_aspect,Subglobose,,,,
Basidiospore_aspect,Broadly ellipsoid,,,,
Basidiospore_aspect,Ellipsoid,,,,
Basidiospore_aspect,Cylindrical,,,,
Basidiospore_aspect,Narrowly cylindrical,,,,
Basidiospore_aspect,Allantoid,,,,
Basidiospore_aspect,Fusiform,,,,
Basidiospore_ornamentation,Absent,,,,
Basidiospore_ornamentation,Present,,,,
Hyphidia,Absent,,,,
Hyphidia,Acanthohyphidia,,,,
Hyphidia,Asterohyphidia,,,,
Hyphidia,Dendrohyphidia,,,,
Hyphidia,Dichohyphidia,,,,
Hyphidia,Finger-like,,,,
